index,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_group,loan_amount_group,loan_to_income_ratio,loan_to_emp_length_ratio,int_rate_to_loan_amt_ratio,credit_risk_score,risk_category
1,21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,20-25,low,small,0.10416666666666667,0.005,0.01114,0.06051662490003743,Low Risk
2,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,20-25,low,medium,0.5729166666666666,0.0001818181818181818,0.00234,0.9880175408572585,High Risk
3,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,20-25,middle,very large,0.5343511450381679,0.00011428571428571428,0.00043514285714285714,0.8876286113597256,High Risk
4,24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,20-25,middle,very large,0.6433823529411765,0.00022857142857142857,0.0004077142857142857,0.9997417604572708,High Risk
5,21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,20-25,low,small,0.25252525252525254,0.0008,0.002856,0.03484396143712383,Low Risk
6,26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,20-25,high-middle,very large,0.45395590142671854,0.00022857142857142857,0.00035485714285714287,0.47534496606194787,Medium Risk
7,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,20-25,high-middle,very large,0.44328486752115104,0.00014285714285714287,0.0003174285714285714,0.5621907571208711,Medium Risk
8,24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,20-25,high-middle,very large,0.42168674698795183,0.00022857142857142857,0.00025428571428571427,0.322228732563206,Medium Risk
9,21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,20-25,low,small,0.16,0.00375,0.0092125,0.3507640765561543,Medium Risk
10,22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,20-25,high-middle,very large,0.4117647058823529,0.00017142857142857143,0.00029628571428571426,0.2275079916525479,Low Risk
11,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,20-25,low,small,0.45,0.00044444444444444447,0.001917777777777778,0.6220348835824938,High Risk
12,23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,20-25,high-middle,very large,0.3684210526315789,5.714285714285714e-05,0.00022571428571428571,0.10345899923561538,Low Risk
13,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,20-25,high,very large,0.323594674556213,0.00011428571428571428,0.0005254285714285714,0.6907154881458926,High Risk
14,23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,20-25,high,very large,0.30434782608695654,5.714285714285714e-05,0.00022571428571428571,0.0840957848386416,Low Risk
15,23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,20-25,high,very large,0.06,0.00023333333333333333,0.000355,0.011798284552887325,Low Risk
16,23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,20-25,high,very large,0.2916666666666667,0.0,0.00022571428571428571,0.06571746662990664,Low Risk
17,23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,20-25,high-middle,very large,0.3799763329026935,0.0002,0.0005785714285714286,0.9960627058147788,High Risk
18,23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,20-25,high,very large,0.30973451327433627,0.00022857142857142857,0.0005214285714285714,0.7532162500996912,High Risk
19,24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,20-25,low,small,0.16203703703703703,0.004571428571428572,0.00628,0.21885103350335042,Low Risk
20,25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,20-25,high,very large,0.2153846153846154,5.714285714285714e-05,0.000214,0.011930086485134878,Low Risk
21,25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,20-25,high,very large,0.25401459854014596,0.0002586206896551724,0.00048189655172413794,0.4634455711280101,Medium Risk
22,22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,20-25,middle,very large,0.5230769230769231,0.00011764705882352942,0.0005170588235294117,0.9741905472297986,High Risk
23,24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,20-25,low,small,0.1366120218579235,0.0,0.00486,0.012714456332163868,Low Risk
24,22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,20-25,high-middle,very large,0.424375,8.836524300441826e-05,0.0004282768777614138,0.9077848397485672,High Risk
25,24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,20-25,middle,very large,0.4871136303250376,0.00024242424242424242,0.00038424242424242426,0.7797625617543362,High Risk
26,21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,20-25,low,small,0.4159090909090909,0.0006557377049180328,0.0038775956284153,0.9747140376555138,High Risk
27,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,20-25,low,small,0.12727272727272726,0.0,0.006657142857142857,0.019056526822626194,Low Risk
28,24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,20-25,middle,very large,0.5,0.0001846153846153846,0.0003073846153846154,0.7993287215198093,High Risk
29,21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,20-25,low,small,0.3512160856967249,0.00125,0.00321,0.7471002908628495,High Risk
30,21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,20-25,low,small,0.1736111111111111,0.0025,0.00556,0.06890677058104748,Low Risk
31,25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,20-25,high,very large,0.26666666666666666,6.25e-05,0.000206875,0.028046711124898836,Low Risk
32,26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,20-25,high-middle,very large,0.3268421052631579,0.00022544283413848632,0.0004563607085346216,0.3162366793915794,Medium Risk
33,25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,20-25,high,very large,0.07924836601307189,8.247422680412371e-05,0.0005711340206185567,0.04763227415294858,Low Risk
34,26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,20-25,high,medium,0.026,0.001282051282051282,0.0017294871794871795,0.026045672410764758,Low Risk
35,21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,20-25,low,small,0.20833333333333334,0.002,0.0030039999999999997,0.022654056367162133,Low Risk
36,22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,20-25,low-middle,very large,0.625,3.3333333333333335e-05,0.000613,0.9945886708454631,High Risk
37,24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,20-25,middle,very large,0.46875,0.0002666666666666667,0.0004846666666666666,0.9688467472578195,High Risk
38,25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,20-25,middle,very large,0.4,0.00013333333333333334,0.000563,0.9465099748286644,High Risk
40,26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,20-25,middle,very large,0.48348106365834004,0.0002,0.0005996666666666666,0.9995368404229256,High Risk
41,24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,20-25,low,small,0.20833333333333334,0.0016,0.005076,0.03443993987892963,Low Risk
42,26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,20-25,high,very large,0.06666666666666667,0.0005,0.000394,0.003082231945717772,Low Risk
43,23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,20-25,high,very large,0.08083333333333333,4.1237113402061855e-05,0.0008004123711340207,0.025314655190787117,Low Risk
44,26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,20-25,high,medium,0.03333333333333333,0.0009,0.001038,0.0050645723681053125,Low Risk
45,26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,20-25,high,very large,0.08333333333333333,0.0,0.0006132,0.08968764095678483,Low Risk
46,25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,20-25,high,very large,0.06,0.0005,0.0009138888888888889,0.21495117451365686,Low Risk
47,26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,20-25,high-middle,very large,0.37179328293468833,0.0002666666666666667,0.0002496666666666667,0.2389233402121913,Low Risk
48,22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,20-25,middle,very large,0.45248868778280543,0.00013333333333333334,0.000423,0.9904307066664364,High Risk
49,26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,20-25,high-middle,very large,0.33697263782180886,0.0,0.00022066666666666667,0.23976716185722993,Low Risk
51,23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,20-25,high-middle,very large,0.38461538461538464,0.00023333333333333333,0.0006206666666666667,0.9621974337187312,High Risk
52,23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,20-25,high-middle,very large,0.32607277944437196,0.0002,0.0005076666666666667,0.21125366964548617,Low Risk
53,23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,20-25,high-middle,very large,0.30927835051546393,0.00023333333333333333,0.000355,0.08009853733855697,Low Risk
54,25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,20-25,high,very large,0.25,0.0003,0.00026333333333333336,0.040615386607050025,Low Risk
55,26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,20-25,high,medium,0.03571428571428571,0.0004,0.001596,0.04787491627116126,Low Risk
56,26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,20-25,high,very large,0.07217506784456378,0.0,0.0005740000000000001,0.016371187127718186,Low Risk
