TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,BalanceChange,Day_of_Week,TransactionHour,AverageTransactionAmount,Cluster,DistanceToCentroid,DBSCAN_Cluster,Cluster_Description,AnomalyScore,IsAnomaly,AnomalyLabel,Fraud_Risk_Score
TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,2024-11-04 08:08:08,5098.12,Tuesday,16,460.6985714285715,1,0.6276829712995797,0,Normal,0.1843581059914069,1,Normal,6.92
TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,2024-11-04 08:09:35,13382.67,Tuesday,16,304.6228571428572,2,0.9124117560596217,0,Normal,0.09730145903417486,1,Normal,33.36
TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,2024-11-04 08:07:04,996.06,Monday,18,237.0475,1,0.2762227094450091,0,Normal,0.17851412171685566,1,Normal,8.7
TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,2024-11-04 08:09:06,8384.56,Friday,16,236.48375000000001,1,0.6161553168152862,0,Normal,0.15097282357036867,1,Normal,17.06
TX000005,AC00411,13.45,2023-10-16 17:51:24,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,2024-11-04 08:06:39,7442.849999999999,Monday,17,280.7966666666667,2,0.6399870174791621,0,Normal,0.1424931781822844,1,Normal,19.64
TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,2024-11-04 08:06:36,689.53,Monday,17,209.20624999999998,2,0.4200675248642565,0,Normal,0.17093717062125896,1,Normal,11.0
TX000007,AC00199,7.08,2023-02-15 16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,2024-11-04 08:10:09,13323.789999999999,Wednesday,16,7.08,2,0.950761287908902,0,Normal,0.0911362208253591,1,Normal,35.23
TX000008,AC00069,171.42,2023-05-08 17:47:59,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,2024-11-04 08:10:55,2967.66,Monday,17,231.08285714285714,2,1.476893870410827,0,Normal,0.07668329764713855,1,Normal,39.62
TX000009,AC00135,106.23,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,2024-11-04 08:11:14,9201.369999999999,Tuesday,16,72.945,1,0.3826061945896125,0,Normal,0.17771241325128945,1,Normal,8.94
TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,2024-11-04 08:06:32,205.91999999999996,Friday,16,591.6,0,0.07062182870074639,0,Normal,0.13303672619832962,1,Normal,22.51
TX000011,AC00150,17.78,2023-03-14 16:46:10,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,2024-11-04 08:06:45,7617.3,Tuesday,16,290.08,1,0.6014643349822333,0,Normal,0.17204018488591766,1,Normal,10.66
TX000012,AC00459,190.02,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,2024-11-04 08:07:12,1338.79,Monday,17,216.2242857142857,2,0.21311047289404395,0,Normal,0.17449802403238202,1,Normal,9.92
TX000013,AC00392,494.52,2023-06-07 17:21:28,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,2024-11-04 08:08:38,2114.54,Wednesday,17,288.1133333333333,0,1.109861699564426,0,Normal,0.1655287544620912,1,Normal,12.64
TX000014,AC00264,781.76,2023-11-20 16:39:15,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69,2024-11-04 08:07:06,-592.0699999999999,Monday,16,441.25500000000005,0,0.168052135177723,0,Normal,0.10715506881073583,1,Normal,30.37
TX000015,AC00085,166.99,2023-02-13 16:53:57,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,2024-11-04 08:10:09,132.94,Monday,16,282.61833333333334,2,0.7759815508431612,0,Normal,0.16878908911930468,1,Normal,11.65
TX000016,AC00270,465.45,2023-12-12 16:23:31,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,2024-11-04 08:12:19,3000.09,Tuesday,16,336.145,0,1.2241883168921504,0,Normal,0.1723185493088195,1,Normal,10.58
TX000017,AC00317,555.8,2023-10-30 16:52:49,Credit,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26,2024-11-04 08:07:35,1687.06,Monday,16,433.22142857142853,0,1.0878812870721168,0,Normal,0.15795538549136262,1,Normal,14.94
TX000018,AC00359,492.93,2023-12-14 18:32:14,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,2024-11-04 08:11:51,4617.04,Thursday,18,346.53833333333336,2,1.2142277266112251,0,Normal,0.09718085058981196,1,Normal,33.4
TX000019,AC00242,18.68,2023-02-21 16:56:50,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37,2024-11-04 08:12:01,7967.05,Tuesday,16,145.5211111111111,1,0.7969140035379266,0,Normal,0.18374868039353381,1,Normal,7.11
TX000020,AC00285,71.48,2023-06-08 18:18:50,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,2024-11-04 08:09:20,6640.07,Thursday,18,405.2242857142857,2,0.50283501778232,0,Normal,0.17853699749435675,1,Normal,8.69
TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,2024-11-04 08:09:24,5691.570000000001,Tuesday,16,293.7442857142857,1,0.6188472912828465,0,Normal,0.16773000301685204,1,Normal,11.97
TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,2024-11-04 08:08:13,9060.42,Friday,18,348.25333333333333,1,0.5024164903515559,0,Normal,0.17722136516482911,1,Normal,9.09
TX000023,AC00095,52.2,2023-06-06 18:54:15,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,2024-11-04 08:07:01,8922.73,Tuesday,18,397.73375,1,0.8781280140419156,0,Normal,0.18306364763505723,1,Normal,7.31
